Designation,Source,Link to source,Meta source,Group,Source type,Technology,Date,Year,Physical qubits,Average two-qubit gate error rate,NOTE: Hover over the cells marked with a black triangle for context and quotes,,,"THIS DATASET IS LICENSED UNDER CC BY 4.0. 
PLEASE CITE AS Jaime Sevilla and C. Jess Riedel. ""Forecasting timelines of quantum computing"", 2020"
NA,"Experimental demonstration of a robust, high-fidelity geometric two ion-qubit phase gate",https://www.nature.com/articles/nature01492,Quantum Computing: Progress and prospects,Universität Innsbruck,Journal article,Trapped ion,27/03/2003,2003,2,3.00E-02,,,,
NA,"High-Fidelity Preparation, Gates, Memory, and Readout of a Trapped-Ion Quantum Bit",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.113.220501,,Clarendon Laboratory ; Laboratoire Matériaux et Phénomènes Quantiques,Journal article,Trapped ion,24/11/2014,2014,1,NA,,,,
NA,High-fidelity quantum logic gates using trapped-ion hyperfine qubits,https://arxiv.org/abs/1512.04600,Quantum Computing: Progress and prospects,Clarendon Laboratory,Journal article,Trapped ion,14/12/2015,2015,2,1.00E-03,,,,
NA,High-Fidelity Universal Gate Set for 9Be+ Ion Qubits,https://arxiv.org/abs/1604.00032,Quantum Computing: Progress and prospects,NIST,Journal article,Trapped ion,31/03/2016,2016,2,8.00E-04,,,,
Q17,"IBM doubles compute power for quantum systems, developers execute 300K+ experiments on IBM Quantum Cloud",https://developer.ibm.com/dwblog/2017/quantum-computing-16-qubit-processor/,,IBM,Industry blog,Superconductor,[UNKNOWN],2017,17,[UNKNOWN],,,,
IBM Q 53,"IBM Opens Quantum Computation Center in New York; Brings World's Largest Fleet of Quantum Computing Systems Online, Unveils New 53-Qubit Quantum System for Broad Use",https://newsroom.ibm.com/2019-09-18-IBM-Opens-Quantum-Computation-Center-in-New-York-Brings-Worlds-Largest-Fleet-of-Quantum-Computing-Systems-Online-Unveils-New-53-Qubit-Quantum-System-for-Broad-Use,,IBM,Press release,Superconductor,[UNKNOWN],2019,53,,,,,
Prototype,Intel Delivers 17-Qubit Superconducting Chip with Advanced Packaging to QuTech,https://newsroom.intel.com/news/intel-delivers-17-qubit-superconducting-chip-advanced-packaging-qutech/#gs.ldjijw,,Intel,Press release,Superconductor,10/10/2017,2017,17,[UNKNOWN],,,,
Spin Wafer,Intel's New Path to Quantum Computing,https://spectrum.ieee.org/nanoclast/computing/hardware/intels-new-path-to-quantum-computing,Quantum Computing Report,Intel,Magazine article,Spin,[UNKNOWN],2018,26,[UNKNOWN],,,,
NA,Manufacturing low dissipation superconducting quantum processors,https://arxiv.org/abs/1901.08042,,Rigetti,Journal article,Superconductor,23/01/2019,2019,24,[UNKNOWN],,,,
NA,Measurement of the Entanglement of Two Superconducting Qubits via State Tomography,https://science.sciencemag.org/content/313/5792/1423,Quantum Computing: Progress and prospects,IBM,Journal article,Superconductor,08/09/2007,2007,2,1.30E-01,,,,
NA,Observation of Entangled States of a Fully Controlled 20-Qubit System,https://arxiv.org/abs/1711.11092,Quantum Computing Report,UQOQI / Univ. Ulm / Univ. Innsbruck,Journal article,Trapped ion,11/04/2018,2018,20,[UNKNOWN],,,,
NA,Procedure for systematically tuning up crosstalk in the cross resonance gate,https://arxiv.org/abs/1603.04821,Quantum Computing: Progress and prospects,IBM,Journal article,Superconductor,15/03/2016,2016,2,9.00E-03,,,,
Sycamore,Quantum Supremacy Using a Programmable Superconducting Processor,https://www.nature.com/articles/s41586-019-1666-5,,Google,Journal article,Superconductor,23/10/2019,2019,53,3.60E-03,,,,
Spin-2,Qutech press release fact sheet - Quantum Inspire,https://qutech.nl/wp-content/uploads/2020/04/1.-Technical-Fact-Sheet-Quantum-Inspire.pdf,Quantum Computing Report,QuTech,Press release fact sheet,Spin,20/04/2020,2020,2,[UNKNOWN],,,,
Starmon-5,Qutech press release fact sheet - Quantum Inspire,https://qutech.nl/wp-content/uploads/2020/04/1.-Technical-Fact-Sheet-Quantum-Inspire.pdf,Quantum Computing Report,QuTech,Press release fact sheet,Superconductor,20/04/2020,2020,5,5.00E-02,,,,
NA,Realization of the Cirac–Zoller controlled-NOT quantum gate,https://www.nature.com/articles/nature01494,Quantum Computing: Progress and prospects,Universität Innsbruck,Journal article,Trapped ion,27/03/2003,2003,2,2.50E-01,,,,
NA,Scalable multiparticle entanglement of trapped ions,https://www.nature.com/articles/nature04279,Quantum Computing: Progress and prospects,Universität Innsbruck,Journal article,Trapped ion,01/12/2005,2005,8,3.00E-01,,,,
NA,State preservation by repetitive error detection in a superconducting quantum circuit,https://www.nature.com/articles/nature14270,,Google,Journal article,Superconductor,04/03/2015,2015,9,4.10E-01,,,,
NA,Superconducting quantum circuits at the surface code threshold for fault tolerance,https://www.nature.com/articles/nature13171,,University of California,Journal article,Superconductor,23/04/2014,2014,5,6.00E-03,,,,
Aspen-4,,https://quantumcomputingreport.com/scorecards/qubit-quality/,Quantum Computing Report,Rigetti,[NEED BETTER SOURCE],Superconductor,5/30/2019,2020,16,9.65E-02,,,,
Cambridge,,https://quantum-computing.ibm.com/docs/cloud/backends/systems,IBM Quantum Experience Available Systems,IBM,[COMING SOON],Superconductor,[UNKNOWN],[UNKNOWN],28,[UNKNOWN],,,,
Aspen-1,,[UNKNOWN],Quantum Computing Report,Rigetti,[NEED BETTER SOURCE],Superconductor,[UNKNOWN],[UNKNOWN],16,[UNKNOWN],,,,
